ref,info
729604412,"<tag k=""addr:housenumber"" v=""52""/><tag k=""addr:street"" v=""Bùi Thị Xuân""/><tag k=""amenity"" v=""fuel""/><tag k=""name"" v=""Trạm Xăng Dầu Số 9""/><tag k=""operator"" v=""SFC""/>"
729604416,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Tram Xang Dau Petrolimex""/>"
729604458,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Tram Xang Dau Phu Thuan Thanh""/>"
729604473,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Nam Thien Pte.""/>"
729604558,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Co So Dai Quang""/>"
729604559,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Cua Hang Xang Dau So 48""/>"
729604578,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Saigon South Trading J.S.C""/>"
729604600,"<tag k=""amenity"" v=""fuel""/><tag k=""compressed_air"" v=""no""/><tag k=""operator"" v=""Tan Phong Transport Trading Co., Ltd""/>"
729604611,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Quan Tam Quynh Trading  Services Co., Ltd""/>"
729604703,"<tag k=""amenity"" v=""fuel""/><tag k=""name"" v=""Cây xăng COMECO""/><tag k=""operator"" v=""Tram Xang Dau Dam Duy Tan""/>"
729604733,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Tiem Tien Xam""/>"
729604745,"<tag k=""addr:street"" v=""Hưng Phú""/><tag k=""amenity"" v=""fuel""/><tag k=""fuel:diesel"" v=""yes""/><tag k=""fuel:octane_92"" v=""yes""/><tag k=""fuel:octane_95"" v=""yes""/><tag k=""name"" v=""Trạm xăng dầu Hưng Phú""/><tag k=""name:de"" v=""Tankstelle""/>"
729604746,"<tag k=""amenity"" v=""fuel""/><tag k=""name"" v=""Cửa Hàng Xăng Dầu Petrolimex""/><tag k=""operator"" v=""Tram Xang Dau Binh Trung""/>"
729604748,"<tag k=""amenity"" v=""fuel""/><tag k=""brand"" v=""Petrolimex""/><tag k=""name"" v=""Cửa Hàng Xăng Dầu Petrolimex""/><tag k=""not:brand:wikidata"" v=""Q10831598""/><tag k=""operator"" v=""Petrolimex""/>"
729604769,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Tan Hung Agent""/>"
729604786,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Cong Ty CP TM Dai Ly Dau Tinh Ba Ria Vung Tau - CN""/>"
729604806,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Duc Thinh Trading Pte.""/>"
729604816,"<tag k=""amenity"" v=""fuel""/><tag k=""name"" v=""Cửa Hàng Xăng Dầu Satra""/><tag k=""name:de"" v=""Tankstelle""/><tag k=""operator"" v=""Tran Thien Trading Services Pte.""/>"
729604856,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Cua Hang Xang Dau Comeco 19""/>"
729604864,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Cong Ty Cp Van Tai Xang Dau Toan Cau""/>"
729604866,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Tram Xang Dau Thach Do""/>"
729604887,"<tag k=""amenity"" v=""fuel""/><tag k=""name"" v=""Cửa Hàng Xăng Dầu Số 4""/><tag k=""operator"" v=""Saigon Petro""/>"
729604977,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Petroleum Transport J.S.C (Pts Saigon)""/>"
729605012,"<tag k=""office"" v=""yes""/><tag k=""operator"" v=""Chung Thanh Trading  Services Co., Ltd""/>"
729605018,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Tram Xang Dau Tan Thuan Dong""/>"
729605019,"<tag k=""amenity"" v=""fuel""/><tag k=""brand"" v=""Petrolimex""/><tag k=""brand:wikidata"" v=""Q10831598""/><tag k=""name"" v=""Đại Lý Bán Lẻ Xăng Dầu - Cửa Hàng 7A""/><tag k=""name:en"" v=""Fuel Retailer Agent - Shop 7A""/><tag k=""operator"" v=""Petrolimex""/>"
729605031,"<tag k=""amenity"" v=""fuel""/><tag k=""operator"" v=""Tram Xang Dau Duc Loi""/>"
735998153,"<tag k=""highway"" v=""turning_circle""/>"
735998190,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
735998206,"<tag k=""highway"" v=""turning_circle""/>"
735998211,"<tag k=""highway"" v=""turning_circle""/>"
735998216,"<tag k=""highway"" v=""turning_circle""/>"
738217347,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
738217348,"<tag k=""crossing"" v=""uncontrolled""/><tag k=""highway"" v=""crossing""/>"
837179279,"<tag k=""name"" v=""Khách Sạn Tân Hải Long 3""/><tag k=""tourism"" v=""hotel""/>"
